C,C#,D,D#,E,F,F#,G,G#,A,A#,B,notation,root,quality,bass
1,0,0,0,1,0,0,1,0,0,0,0,C,C,M,C
1,0,0,1,0,0,0,1,0,0,0,0,Cm,C,m,C
1,0,0,0,1,0,0,1,0,0,1,0,C7,C,7,C
1,0,0,1,0,0,0,1,0,0,1,0,Cm7,C,m7,C
1,0,0,0,1,0,0,1,0,0,0,1,Cmaj7,C,maj7,C
0,1,0,0,0,1,0,0,1,0,0,0,C#,C#,M,C#
0,1,0,0,1,0,0,0,1,0,0,0,C#m,C#,m,C#
0,1,0,0,0,1,0,0,1,0,0,1,C#7,C#,7,C#
0,1,0,0,1,0,0,0,1,0,0,1,C#m7,C#,m7,C#
1,1,0,0,0,1,0,0,1,0,0,0,C#maj7,C#,maj7,C#
0,0,1,0,0,0,1,0,0,1,0,0,D,D,M,D
0,0,1,0,0,1,0,0,0,1,0,0,Dm,D,m,D
1,0,1,0,0,0,1,0,0,1,0,0,D7,D,7,D
1,0,1,0,0,1,0,0,0,1,0,0,Dm7,D,m7,D
0,1,1,0,0,0,1,0,0,1,0,0,Dmaj7,D,maj7,D
0,0,0,1,0,0,0,1,0,0,1,0,D#,D#,M,D#
0,0,0,1,0,0,1,0,0,0,1,0,D#m,D#,m,D#
0,1,0,1,0,0,0,1,0,0,1,0,D#7,D#,7,D#
0,1,0,1,0,0,1,0,0,0,1,0,D#m7,D#,m7,D#
0,0,1,1,0,0,0,1,0,0,1,0,D#maj7,D#,maj7,D#
0,0,0,0,1,0,0,0,1,0,0,1,E,E,M,E
0,0,0,0,1,0,0,1,0,0,0,1,Em,E,m,E
0,0,1,0,1,0,0,0,1,0,0,1,E7,E,7,E
0,0,1,0,1,0,0,1,0,0,0,1,Em7,E,m7,E
0,0,0,1,1,0,0,0,1,0,0,1,Emaj7,E,maj7,E
1,0,0,0,0,1,0,0,0,1,0,0,F,F,M,F
1,0,0,0,0,1,0,0,1,0,0,0,Fm,F,m,F
1,0,0,1,0,1,0,0,0,1,0,0,F7,F,7,F
1,0,0,1,0,1,0,0,1,0,0,0,Fm7,F,m7,F
1,0,0,0,1,1,0,0,0,1,0,0,Fmaj7,F,maj7,F
0,1,0,0,0,0,1,0,0,0,1,0,F#,F#,M,F#
0,1,0,0,0,0,1,0,0,1,0,0,F#m,F#,m,F#
0,1,0,0,1,0,1,0,0,0,1,0,F#7,F#,7,F#
0,1,0,0,1,0,1,0,0,1,0,0,F#m7,F#,m7,F#
0,1,0,0,0,1,1,0,0,0,1,0,F#maj7,F#,maj7,F#
0,0,1,0,0,0,0,1,0,0,0,1,G,G,M,G
0,0,1,0,0,0,0,1,0,0,1,0,Gm,G,m,G
0,0,1,0,0,1,0,1,0,0,0,1,G7,G,7,G
0,0,1,0,0,1,0,1,0,0,1,0,Gm7,G,m7,G
0,0,1,0,0,0,1,1,0,0,0,1,Gmaj7,G,maj7,G
1,0,0,1,0,0,0,0,1,0,0,0,G#,G#,M,G#
0,0,0,1,0,0,0,0,1,0,0,1,G#m,G#,m,G#
1,0,0,1,0,0,1,0,1,0,0,0,G#7,G#,7,G#
0,0,0,1,0,0,1,0,1,0,0,1,G#m7,G#,m7,G#
1,0,0,1,0,0,0,1,1,0,0,0,G#maj7,G#,maj7,G#
0,1,0,0,1,0,0,0,0,1,0,0,A,A,M,A
1,0,0,0,1,0,0,0,0,1,0,0,Am,A,m,A
0,1,0,0,1,0,0,1,0,1,0,0,A7,A,7,A
1,0,0,0,1,0,0,1,0,1,0,0,Am7,A,m7,A
0,1,0,0,1,0,0,0,1,1,0,0,Amaj7,A,maj7,A
0,0,1,0,0,1,0,0,0,0,1,0,A#,A#,M,A#
0,1,0,0,0,1,0,0,0,0,1,0,A#m,A#,m,A#
0,0,1,0,0,1,0,0,1,0,1,0,A#7,A#,7,A#
0,1,0,0,0,1,0,0,1,0,1,0,A#m7,A#,m7,A#
0,0,1,0,0,1,0,0,0,1,1,0,A#maj7,A#,maj7,A#
0,0,0,1,0,0,1,0,0,0,0,1,B,B,M,B
0,0,1,0,0,0,1,0,0,0,0,1,Bm,B,m,B
0,0,0,1,0,0,1,0,0,1,0,1,B7,B,7,B
0,0,1,0,0,0,1,0,0,1,0,1,Bm7,B,m7,B
0,0,0,1,0,0,1,0,0,0,1,1,Bmaj7,B,maj7,B
